,code,2nd_code,std_price,name
185,A003300,1,14650,한일홀딩스
186,A003350,1,29850,한국화장품제조
187,A003410,1,8350,쌍용C&E
188,A003460,1,2730,유화증권
189,A003465,1,2850,유화증권우
190,A003470,1,4240,유안타증권
191,A003475,1,4310,유안타증권우
192,A003480,1,4935,한진중공업홀딩스
193,A003490,1,32950,대한항공
194,A003495,1,40200,대한항공우
195,A003520,1,5360,영진약품
196,A003530,1,4860,한화투자증권
197,A003535,1,13750,한화투자증권우
198,A003540,1,21600,대신증권
199,A003545,1,19250,대신증권우
200,A003547,1,18700,대신증권2우B
201,A003550,1,94600,LG
202,A003555,1,69900,LG우
203,A003560,1,1590,IHQ
204,A003570,1,10100,SNT중공업
205,A003580,1,34400,넥스트사이언스
206,A003610,1,2640,방림
207,A003620,1,2770,쌍용차
208,A003650,1,79500,미창석유
209,A003670,1,161000,포스코케미칼
210,A003680,1,7410,한성기업
211,A003690,1,9380,코리안리
212,A003720,1,3260,삼영화학
213,A003780,1,6070,진양산업
214,A003830,1,146000,대한화섬
215,A003850,1,16750,보령제약
216,A003920,1,473500,남양유업
217,A003925,1,231500,남양유업우
218,A003960,1,30600,사조대림
219,A004000,1,91100,롯데정밀화학
220,A004020,1,51500,현대제철
221,A004060,1,751,SG세계물산
222,A004080,1,17550,신흥
223,A004090,1,13200,한국석유
224,A004100,1,2015,태양금속
225,A004105,1,3655,태양금속우
226,A004140,1,5050,동방
227,A004150,1,4080,한솔홀딩스
228,A004170,1,271000,신세계
229,A004250,1,7280,NPC
230,A004255,1,3345,NPC우
231,A004270,1,3160,남성
232,A004310,1,5950,현대약품
233,A004360,1,13800,세방
234,A004365,1,7760,세방우
235,A004370,1,290000,농심
236,A004380,1,12350,삼익THK
237,A004410,1,355,서울식품
238,A004415,1,4895,서울식품우
239,A004430,1,20500,송원산업
240,A004440,1,11900,삼일씨엔에스
241,A004450,1,43900,삼화왕관
242,A004490,1,89500,세방전지
243,A004540,1,5020,깨끗한나라
244,A004545,1,24050,깨끗한나라우
245,A004560,1,20150,현대비앤지스틸
246,A004565,1,85700,현대비앤지스틸우
247,A004690,1,96500,삼천리
248,A004700,1,57500,조광피혁
249,A004710,1,7340,한솔테크닉스
