,code,2nd_code,std_price,name
186,A032860,1,4875,휴먼엔
187,A032940,1,4995,원익
188,A032960,1,15100,동일기연
189,A032980,1,1465,바이온
190,A033050,1,1545,제이엠아이
191,A033100,1,6080,제룡전기
192,A033110,1,204,코너스톤네트웍스
193,A033130,1,3120,디지틀조선
194,A033160,1,23500,엠케이전자
195,A033170,1,1635,시그네틱스
196,A033200,1,8590,모아텍
197,A033230,1,3590,인성정보
198,A033290,1,7680,코웰패션
199,A033310,1,13800,엠투엔
200,A033320,1,6920,제이씨현시스템
201,A033340,1,1055,좋은사람들
202,A033500,1,11800,동성화인텍
203,A033540,1,2910,파라텍
204,A033560,1,9920,블루콤
205,A033640,1,34550,네패스
206,A033790,1,829,스카이문스테크놀로지
207,A033830,1,2440,티비씨
208,A034230,1,17350,파라다이스
209,A034810,1,15650,해성산업
210,A034940,1,4130,조아제약
211,A034950,1,82800,한국기업평가
212,A035080,1,6970,인터파크
213,A035200,1,7370,프럼파스트
214,A035290,1,0,골드앤에스
215,A035460,1,3520,기산텔레콤
216,A035600,1,18250,KG이니시스
217,A035610,1,6510,솔본
218,A035620,1,1285,바른손이앤에이
219,A035760,1,150500,CJ ENM
220,A035810,1,4635,이지홀딩스
221,A035890,1,2040,서희건설
222,A035900,1,39700,JYP Ent.
223,A036000,1,2960,예림당
224,A036010,1,9960,아비코전자
225,A036030,1,7810,케이티알파
226,A036090,1,1230,위지트
227,A036120,1,3305,SCI평가정보
228,A036170,1,1650,클라우드에어
229,A036180,1,2740,지더블유바이텍
230,A036190,1,33500,금화피에스시
231,A036200,1,13100,유니셈
232,A036480,1,17200,대성미생물
233,A036490,1,418500,SK머티리얼즈
234,A036540,1,6590,SFA반도체
235,A036560,1,10950,영풍정밀
236,A036620,1,1690,감성코퍼레이션
237,A036630,1,571,세종텔레콤
238,A036640,1,8440,HRS
239,A036670,1,9100,KCI
240,A036690,1,6660,코맥스
241,A036710,1,3015,심텍홀딩스
242,A036800,1,33500,나이스정보통신
243,A036810,1,26600,에프에스티
244,A036830,1,36000,솔브레인홀딩스
245,A036890,1,12500,진성티이씨
246,A036930,1,12700,주성엔지니어링
247,A037030,1,4835,파워넷
248,A037070,1,19250,파세코
249,A037230,1,5020,한국팩키지
250,A037330,1,3235,인지디스플레
251,A037350,1,5850,성도이엔지
252,A037370,1,16250,EG
253,A037400,1,3160,우리조명
254,A037440,1,7050,희림
255,A037460,1,13200,삼지전자
256,A037760,1,2120,쎄니트
257,A037950,1,1360,엘컴텍
258,A038010,1,6510,제일테크노스
259,A038060,1,1165,루멘스
260,A038070,1,31450,서린바이오
261,A038110,1,3980,에코플라스틱
262,A038290,1,32200,마크로젠
263,A038340,1,445,UCI
264,A038390,1,26850,레드캡투어
265,A038460,1,5920,바이오스마트
266,A038500,1,5160,삼표시멘트
267,A038530,1,1920,골드퍼시픽
268,A038540,1,8360,상상인
269,A038620,1,2550,위즈코프
270,A038680,1,7450,에스넷
271,A038870,1,9380,에코바이오
272,A038880,1,1045,아이에이
273,A038950,1,6450,파인디지털
274,A039010,1,9720,현대에이치티
275,A039020,1,5790,이건홀딩스
276,A039030,1,115000,이오테크닉스
277,A039200,1,38750,오스코텍
278,A039230,1,0,에이아이비트
279,A039240,1,10650,경남스틸
280,A039290,1,11600,인포뱅크
281,A039310,1,4090,세중
282,A039340,1,7220,한국경제TV
283,A039420,1,4245,케이엘넷
284,A039440,1,16100,에스티아이
285,A039560,1,8180,다산네트웍스
286,A039610,1,6510,화성밸브
287,A039670,1,0,스포츠서울
288,A039740,1,6140,한국정보공학
289,A039830,1,10250,오로라
290,A039840,1,45900,디오
291,A039860,1,8040,나노엔텍
292,A039980,1,1375,리노스
293,A040160,1,8100,누리플렉스
294,A040300,1,3590,YTN
295,A040350,1,1535,큐로컴
296,A040420,1,7310,정상제이엘에스
297,A040610,1,2855,SG&G
298,A040910,1,13600,아이씨디
299,A041020,1,2435,폴라리스오피스
300,A041140,1,10650,넥슨지티
301,A041190,1,7970,우리기술투자
302,A041440,1,6370,현대에버다임
303,A041460,1,10250,한국전자인증
304,A041510,1,64900,에스엠
305,A041520,1,9110,이라이콤
306,A041590,1,1010,젬백스지오
307,A041830,1,27600,인바디
308,A041910,1,11350,에스텍파마
309,A041920,1,11000,메디아나
310,A041930,1,17600,동아화성
311,A041960,1,10300,코미팜
312,A042000,1,32650,카페24
313,A042040,1,1500,케이피엠테크
314,A042110,1,2025,에스씨디
315,A042370,1,11950,비츠로테크
316,A042420,1,25800,네오위즈홀딩스
317,A042500,1,6450,링네트
318,A042510,1,4910,라온시큐어
319,A042520,1,14850,한스바이오메드
320,A042600,1,19500,새로닉스
321,A042940,1,1550,상지카일룸
322,A043090,1,2240,큐브앤컴퍼니
323,A043100,1,1250,솔고바이오
324,A043150,1,43200,바텍
325,A043200,1,1140,파루
326,A043220,1,2150,에이치엘비파워
327,A043260,1,1765,성호전자
328,A043340,1,1245,에쎈테크
329,A043360,1,3745,디지아이
330,A043370,1,10300,피에이치에이
331,A043590,1,0,크로바하이텍
332,A043610,1,5650,지니뮤직
333,A043650,1,8940,국순당
334,A043710,1,1230,서울리거
335,A043910,1,1940,자연과환경
336,A044060,1,8310,조광ILI
337,A044180,1,2070,KD
338,A044340,1,20150,위닉스
339,A044480,1,2475,블루베리 NFT
340,A044490,1,12500,태웅
341,A044780,1,2335,에이치케이
342,A044960,1,8520,이글벳
343,A045060,1,4565,오공
344,A045100,1,16050,한양이엔지
345,A045300,1,6690,성우테크론
346,A045340,1,13250,토탈소프트
347,A045390,1,6060,대아티아이
348,A045510,1,2420,정원엔시스
349,A045520,1,19400,크린앤사이언스
350,A045660,1,31600,에이텍
351,A045890,1,240,GV
352,A045970,1,8570,코아시아
353,A046070,1,1235,코다코
354,A046110,1,6140,한일네트웍스
355,A046120,1,7150,오르비텍
356,A046140,1,7170,SBS콘텐츠허브
357,A046210,1,4395,파나진
358,A046310,1,3725,백금T&A
359,A046390,1,3030,삼화네트웍스
